Racha_Local,Racha_Visita,Dif_Goles_Local,Dif_Goles_Visita,Pts_Totales_Local,Pts_Totales_Visita,FTR,B365H,B365D,B365A
1,3,-3,0,2,3,H,2.2,3.0,3.7
4,7,0,5,4,8,A,4.75,3.9,1.67
6,9,3,9,7,12,A,4.2,3.8,1.8
3,1,0,-10,6,4,H,1.67,3.75,5.5
1,3,-3,-1,2,4,A,3.8,3.4,2.0
7,1,4,-3,8,1,H,1.33,4.5,11.0
1,6,-2,-2,4,7,H,2.05,3.1,4.0
4,1,0,-3,5,4,H,2.9,2.75,3.0
4,2,0,-1,5,3,H,1.91,3.0,5.0
1,6,-3,1,5,7,A,3.75,3.2,2.05
6,4,2,-1,7,5,H,2.15,3.1,3.7
7,7,4,2,11,7,H,1.17,7.0,19.0
1,6,-4,3,1,7,H,2.88,3.3,2.5
3,1,-5,-3,7,2,H,1.9,3.4,4.2
1,1,-9,-3,4,4,D,3.9,3.0,2.2
1,0,-2,-5,3,5,D,2.05,2.8,4.75
6,3,2,0,10,9,H,1.7,3.7,5.25
7,9,2,11,11,15,A,3.9,3.9,1.85
3,7,0,4,7,11,D,5.0,3.4,1.8
6,6,1,1,8,8,A,1.85,3.3,4.75
3,1,-2,-9,5,5,H,1.65,3.8,5.5
4,6,-1,0,4,10,D,2.0,3.1,4.0
9,6,7,2,14,10,H,1.2,6.5,13.0
3,4,-3,1,7,8,D,1.73,3.7,4.5
9,1,14,-2,18,4,H,1.25,6.25,10.0
6,4,-1,-3,7,11,A,3.25,3.5,2.15
0,6,-4,2,2,8,D,3.1,3.1,2.38
3,7,-1,4,9,12,A,3.8,3.7,1.91
1,6,-3,1,5,11,A,3.0,2.9,2.63
1,4,-3,-1,5,5,H,1.85,3.25,4.75
4,9,-1,8,11,21,H,7.0,4.5,1.45
1,3,-2,-1,4,10,H,2.55,2.88,3.1
5,1,2,-4,9,6,D,1.9,3.0,5.0
7,9,4,6,15,17,D,2.8,3.3,2.5
4,3,0,-3,9,7,H,1.65,3.4,5.75
9,6,5,1,13,8,D,1.7,3.7,5.0
3,1,-1,-5,9,8,D,2.1,3.6,3.25
6,1,-2,-2,14,3,H,1.45,4.33,6.5
2,4,-2,-1,7,5,D,2.9,2.88,2.8
0,9,-5,3,7,14,H,3.1,3.0,2.55
4,7,1,3,7,14,D,2.2,2.9,3.9
1,1,-3,-3,3,10,A,3.1,3.5,2.25
1,3,-2,0,5,10,A,3.1,3.0,2.5
7,6,4,-1,18,17,H,1.27,6.25,8.5
4,5,2,1,8,16,D,3.3,3.2,2.3
4,4,0,0,9,12,H,2.45,3.2,3.0
2,7,-2,4,9,14,H,2.35,3.3,3.1
3,6,-2,3,10,21,A,5.25,4.5,1.57
0,0,-6,-3,10,5,A,1.62,3.9,5.75
4,3,1,-1,14,10,H,1.45,4.2,7.5
5,4,2,0,15,12,A,2.5,3.4,2.7
5,5,1,3,12,9,A,2.4,3.4,2.88
4,7,0,3,13,21,A,4.75,4.5,1.6
6,7,2,2,24,12,H,1.3,5.75,8.0
6,4,1,1,17,8,D,1.67,3.8,5.0
6,5,1,1,14,13,H,2.05,3.1,4.0
5,3,1,0,17,8,H,1.33,4.75,10.0
2,1,-3,-3,6,3,A,1.62,3.8,5.5
3,4,-3,-3,10,12,A,3.0,3.25,2.4
3,4,-1,0,8,18,A,3.5,3.75,2.0
4,0,0,-6,13,10,H,2.25,3.1,3.5
3,4,-2,0,6,12,H,2.88,3.4,2.45
7,6,3,5,24,27,A,2.0,4.1,3.25
2,4,-2,0,8,13,H,3.25,3.25,2.3
5,1,2,-4,9,6,D,2.1,3.1,3.8
6,5,1,2,15,20,H,3.1,3.4,2.3
7,4,4,1,12,15,A,1.75,3.6,5.0
6,4,1,2,17,17,D,2.9,3.1,2.55
0,4,-5,0,10,18,H,2.25,3.0,3.4
3,4,-1,1,12,11,H,1.7,3.5,5.5
4,3,1,-1,18,8,H,1.6,3.7,6.25
4,6,2,1,18,18,D,1.91,3.5,4.0
6,4,-1,-1,15,12,A,2.9,3.0,2.63
9,3,11,-4,30,10,H,1.13,9.0,19.0
4,6,1,1,20,9,H,1.27,6.0,9.5
3,3,-3,0,13,10,H,1.95,3.2,4.5
6,6,1,0,16,9,A,1.83,3.4,4.5
6,6,-1,2,24,21,H,1.2,7.0,13.0
4,3,-1,-1,21,13,H,1.62,4.0,5.5
3,3,0,-4,11,15,H,2.88,3.2,2.55
6,9,1,10,15,33,H,4.75,4.1,1.65
3,5,-1,3,8,19,D,4.5,3.4,1.85
2,3,-1,-1,10,15,A,2.45,3.2,3.0
4,6,0,3,18,23,A,3.6,3.1,2.2
7,3,2,-3,19,16,D,1.95,3.4,4.0
1,1,-2,-2,10,9,H,1.65,3.4,6.5
2,5,-1,1,7,20,H,3.0,3.0,2.6
6,3,2,-3,26,13,H,1.36,4.75,9.0
6,0,1,-7,18,10,H,1.67,3.9,5.25
6,1,1,-2,12,18,A,2.8,3.0,2.7
4,6,-2,5,17,33,D,4.75,4.33,1.65
3,6,0,1,20,18,H,2.25,3.0,3.6
6,6,3,1,14,27,A,7.5,4.5,1.42
3,3,-1,-2,15,16,H,2.3,3.2,3.3
6,7,-1,4,21,24,D,2.55,3.4,2.75
3,4,-1,1,21,10,H,2.0,3.0,4.5
4,3,1,-1,34,12,A,1.17,8.5,13.0
3,3,-3,-3,13,14,D,1.8,3.4,5.0
0,5,-7,1,10,18,H,3.3,3.4,2.2
1,9,-3,4,9,29,A,6.0,4.2,1.53
7,9,4,5,25,21,D,1.83,3.7,4.2
6,3,3,0,30,13,H,1.36,4.5,10.0
3,5,-2,1,16,23,A,2.8,3.1,2.7
6,2,2,-2,18,20,H,1.8,3.6,4.5
3,4,-2,-3,18,22,D,2.1,3.4,3.5
6,1,1,-2,24,34,A,5.75,4.33,1.53
7,9,2,9,26,33,H,3.2,3.3,2.25
2,6,-2,-2,18,24,H,1.85,3.4,4.5
1,4,-4,3,20,37,D,5.0,4.5,1.57
4,0,1,-4,10,16,A,2.25,2.9,3.75
6,1,2,-7,15,9,H,1.8,3.6,4.5
7,6,4,4,22,33,A,4.5,3.9,1.73
9,4,7,0,32,19,H,1.38,4.75,8.5
2,1,-4,-4,23,14,D,2.05,3.3,3.75
4,6,-2,2,15,21,A,4.75,3.1,1.91
9,5,3,3,29,26,H,1.95,3.6,3.8
3,3,-1,-3,13,13,H,1.8,3.1,5.75
0,3,-8,0,9,10,H,3.1,3.1,2.38
3,3,-2,0,13,24,D,2.75,3.2,2.6
3,4,-5,0,24,22,H,2.3,3.1,3.25
4,4,0,0,19,21,H,2.2,3.25,3.3
3,6,-1,4,19,36,D,6.0,3.8,1.57
9,6,7,1,35,16,H,1.4,4.33,9.0
2,9,-1,4,15,32,D,3.6,3.1,2.15
6,6,4,1,24,18,D,1.4,4.33,8.0
2,1,-2,-4,26,21,A,1.75,3.8,4.33
4,1,3,-6,38,15,A,1.13,8.0,19.0
4,0,1,-3,14,10,D,2.6,3.0,3.0
1,4,-3,0,26,20,D,1.8,3.6,4.5
1,3,-4,-5,22,12,H,1.38,5.0,8.0
4,9,3,7,38,38,A,1.9,3.8,3.9
3,7,0,3,25,33,A,3.9,3.1,2.1
3,3,-2,-5,16,27,A,2.3,2.75,3.9
3,7,-1,5,21,25,H,2.9,3.1,2.6
1,3,-2,0,11,16,D,2.25,3.1,3.5
4,4,2,0,37,22,H,1.33,5.5,9.0
7,2,2,-1,19,15,H,1.85,3.6,4.33
4,1,-2,-3,18,27,A,4.2,3.4,1.91
4,5,-1,1,24,21,D,1.8,3.5,4.75
2,7,-1,5,12,40,A,7.0,4.5,1.42
3,6,0,3,22,24,H,2.75,3.1,2.7
3,3,0,-1,17,25,A,2.75,3.1,2.75
3,5,-3,1,12,25,H,4.5,3.5,1.83
2,3,-1,-5,15,18,D,2.1,3.0,4.0
3,2,-2,-1,22,12,D,2.0,3.3,4.0
7,3,2,-1,22,16,A,2.45,2.9,3.3
9,2,3,-1,41,25,H,1.33,5.0,10.0
4,4,1,2,25,30,H,2.0,3.3,4.0
2,6,-1,-1,16,15,H,1.75,3.4,5.25
4,2,0,-1,25,17,A,1.75,3.6,4.75
3,1,-1,-2,19,38,D,6.5,4.2,1.5
6,4,3,-1,28,23,A,1.91,3.5,4.0
4,9,-2,3,19,44,H,7.0,4.0,1.5
3,7,0,3,24,36,A,2.8,3.2,2.6
7,4,3,0,43,22,H,1.14,7.5,17.0
1,5,-2,1,25,25,D,2.15,3.0,3.8
2,4,-1,-1,13,28,H,3.1,3.0,2.55
4,6,2,0,30,30,H,1.73,3.5,5.25
3,1,-3,-2,22,26,D,2.5,3.1,3.0
3,9,-3,6,15,46,A,10.0,6.0,1.27
4,4,-1,0,26,19,D,1.7,3.8,4.75
6,1,-2,-3,30,25,A,2.25,3.0,3.5
6,6,1,6,44,33,D,1.7,4.0,4.75
5,6,1,3,26,28,H,2.75,2.9,2.88
3,4,-2,0,28,20,A,1.75,3.4,5.5
7,4,2,-2,39,22,D,1.38,5.0,7.5
1,4,-2,0,39,16,H,1.22,7.5,10.0
4,3,1,0,20,24,D,2.63,3.0,3.0
5,7,1,2,23,29,A,3.3,3.0,2.38
5,9,1,7,20,49,H,9.0,5.75,1.3
4,3,0,-4,45,30,H,1.4,4.33,8.5
4,3,3,-3,34,15,H,1.22,7.0,10.0
7,5,4,1,23,27,D,2.45,2.9,3.25
4,4,5,1,42,21,H,1.2,7.5,13.0
4,1,-5,-2,16,25,H,2.3,3.1,3.25
2,3,-1,-3,27,28,H,3.0,3.0,2.55
3,7,-2,2,28,40,D,2.9,3.3,2.45
3,1,-1,-4,28,23,H,1.6,4.2,5.0
7,0,2,-8,32,15,H,1.5,4.1,7.0
1,7,-4,8,23,37,A,4.75,3.9,1.7
1,4,-2,-1,25,29,H,2.25,3.4,3.2
5,3,1,-1,41,31,H,1.65,4.0,5.0
6,4,5,1,49,48,D,1.85,3.6,4.2
4,5,1,3,21,24,A,2.3,2.9,3.6
6,4,-4,0,19,23,H,1.73,3.4,5.5
0,7,-5,2,28,23,H,1.6,3.9,5.75
5,7,1,7,28,45,A,5.25,4.5,1.55
0,5,-7,1,30,30,D,2.0,3.0,4.33
3,7,-3,4,31,27,A,1.95,3.25,4.33
7,6,5,-3,40,22,D,1.5,4.5,5.5
5,4,2,0,49,28,D,1.39,4.5,8.0
5,4,1,2,31,50,D,5.75,4.1,1.57
1,1,-3,-2,23,21,D,3.1,2.9,2.6
4,5,0,3,23,44,D,5.5,3.4,1.73
0,2,-8,-3,15,28,A,4.0,3.4,1.95
1,1,-3,-2,31,23,H,1.73,3.5,5.25
4,3,0,-3,29,31,H,2.55,3.1,2.9
9,9,10,3,48,35,H,1.22,7.0,11.0
4,5,0,1,29,32,H,1.67,3.75,5.25
0,9,-4,5,23,51,A,8.5,7.0,1.25
7,5,3,2,23,50,A,4.2,3.4,1.91
1,4,-2,0,22,24,A,1.8,3.25,5.25
6,7,1,5,35,41,A,2.88,3.5,2.38
5,0,3,-9,45,15,H,1.17,7.0,19.0
2,3,-1,-3,51,31,H,1.29,6.25,8.5
7,4,2,2,30,32,A,2.6,3.1,2.9
3,1,-3,-3,31,24,H,1.55,3.75,7.0
4,4,1,0,31,34,D,2.05,3.2,3.9
0,0,-11,-5,15,23,D,3.1,3.2,2.4
6,5,3,2,35,54,H,4.33,4.0,1.73
5,7,3,9,53,48,H,2.05,3.5,3.6
3,4,-1,1,35,32,D,2.3,3.2,3.3
0,7,-6,2,31,32,D,2.2,3.5,3.25
1,6,-5,1,24,30,H,3.1,2.88,2.6
9,6,6,1,54,34,H,1.25,5.75,12.0
5,1,2,-2,35,22,D,2.25,3.1,3.5
2,4,-1,-1,32,23,D,2.3,3.2,3.3
5,4,1,-2,33,27,H,1.55,3.8,7.0
2,7,-1,2,23,44,H,3.1,3.25,2.38
2,1,-3,-10,24,16,H,1.38,4.5,9.0
9,1,5,-4,38,24,H,1.42,4.5,7.5
3,7,-1,4,30,56,H,4.5,3.1,1.95
4,1,1,-2,54,36,H,1.29,5.75,9.5
4,5,5,2,48,36,D,1.62,3.7,6.0
3,5,-4,4,34,33,A,2.2,3.2,3.5
4,1,0,-3,27,32,D,3.1,3.2,2.4
1,4,-3,0,24,26,D,2.88,3.0,2.75
2,4,-2,-2,33,27,D,1.92,3.5,3.9
4,6,0,2,44,57,A,3.1,3.75,2.15
1,7,-7,2,16,36,A,5.0,3.8,1.63
3,5,0,1,37,28,H,1.77,3.3,5.0
3,9,-3,3,27,41,A,3.8,3.3,2.05
5,4,1,5,36,49,A,2.9,3.2,2.5
2,3,-1,-1,33,33,A,2.25,2.88,3.8
1,3,-2,-2,36,34,D,2.5,3.0,3.1
6,9,3,7,56,57,A,3.1,3.6,2.2
9,1,8,-2,60,33,H,1.29,7.0,7.0
1,1,-5,-2,35,16,H,1.33,4.75,11.0
4,3,0,-2,28,56,D,5.5,3.75,1.62
5,2,1,-1,27,37,A,2.15,2.9,4.1
6,3,1,-1,60,27,H,1.14,8.0,17.0
5,5,1,1,28,40,H,2.15,3.1,3.75
9,4,3,0,44,36,H,1.83,3.5,4.33
4,1,0,-4,52,33,D,1.45,4.1,7.0
9,3,9,0,63,34,H,1.25,6.5,10.0
6,3,1,-1,36,44,A,3.25,3.1,2.35
7,2,2,-1,39,25,D,1.57,4.1,5.5
4,2,1,-1,40,29,A,1.65,3.5,6.0
2,4,-3,-1,34,27,A,2.05,3.4,3.6
9,7,3,2,63,31,A,1.3,5.75,8.5
4,7,0,2,40,40,A,2.63,3.2,2.8
9,9,8,3,66,47,D,1.36,5.5,7.0
2,4,-1,0,26,38,A,3.2,3.2,2.35
3,1,-1,-3,36,57,A,3.5,3.2,2.2
0,6,-3,1,16,36,A,4.75,3.1,1.9
3,5,-1,1,47,53,D,2.2,3.3,3.25
0,1,-3,-4,27,34,D,2.7,3.1,2.75
7,0,2,-3,34,36,H,2.3,3.1,3.4
7,4,2,3,43,32,A,1.62,3.7,6.0
1,7,-2,6,28,67,A,8.5,6.0,1.3
7,3,3,-1,41,40,A,1.75,3.4,5.5
6,2,4,-2,39,26,A,1.75,3.3,5.5
7,4,2,0,48,48,A,2.35,3.3,3.1
5,4,1,-2,54,40,H,1.75,3.4,5.5
2,1,-3,-4,35,34,H,2.45,3.2,3.1
4,6,-1,1,30,63,A,5.25,4.1,1.62
4,0,-1,-6,60,16,H,1.14,8.0,19.0
7,3,6,1,35,39,H,2.88,2.63,3.0
3,9,-4,3,40,37,D,2.25,3.0,3.4
7,4,4,-1,70,43,H,1.3,5.75,8.0
3,1,0,-2,43,28,D,1.85,3.1,5.0
4,7,0,3,29,63,H,5.75,4.2,1.55
0,5,-7,1,16,38,A,4.5,3.4,1.83
7,6,2,1,51,41,D,1.7,3.7,5.0
0,3,-3,-2,36,30,D,2.0,3.1,4.2
6,5,1,2,66,57,H,1.65,3.9,5.25
0,4,-5,0,34,48,A,2.88,3.3,2.45
7,9,2,7,38,38,D,1.95,3.3,4.1
7,4,2,1,73,44,H,1.2,7.0,13.0
4,6,1,1,57,32,H,1.36,5.25,7.0
3,5,-2,1,43,52,H,2.5,3.4,2.8
4,4,0,0,31,42,H,2.35,3.0,3.4
3,6,1,1,39,69,A,4.75,3.6,1.75
6,1,2,-6,63,41,H,1.53,4.0,6.5
4,0,1,-7,51,16,H,1.2,7.0,13.0
2,0,-1,-4,29,34,D,2.75,3.1,2.75
7,1,2,-2,41,37,H,2.5,3.0,3.2
4,7,-2,3,52,39,H,1.44,5.0,6.25
1,0,-5,-4,41,39,H,2.38,3.0,3.4
4,6,0,4,34,66,D,3.7,3.1,2.15
4,9,-2,3,55,44,H,1.53,4.2,6.0
6,5,2,1,32,39,A,2.63,3.3,2.7
0,9,-7,3,16,76,A,15.0,8.0,1.14
1,6,-3,2,42,60,D,2.55,3.0,3.0
4,6,0,5,39,54,A,3.3,3.0,2.38
9,3,3,0,72,46,H,1.33,5.75,7.0
1,2,-2,-1,37,30,D,1.77,3.5,4.75
1,4,-3,1,35,44,H,2.0,3.1,4.2
3,4,-1,-2,32,44,A,2.45,3.25,3.0
5,0,1,-3,42,39,H,2.0,3.0,4.33
3,2,1,-1,46,38,H,1.8,3.6,4.5
4,6,-1,0,38,58,A,3.1,3.8,2.1
1,0,-2,-6,44,16,H,1.33,5.25,9.0
4,2,2,-1,67,43,H,1.67,3.7,5.0
9,6,7,0,57,44,D,1.62,3.75,5.75
4,5,0,1,61,35,H,1.8,2.9,4.5
9,9,3,3,79,75,H,1.9,3.7,3.2
3,1,0,-2,31,39,H,2.4,3.0,3.2
0,4,-6,0,16,38,A,4.75,3.9,1.73
1,6,-5,3,43,49,A,2.3,3.3,3.1
1,0,-2,-3,38,32,H,1.67,3.7,5.25
4,7,0,4,35,45,H,2.1,3.1,3.7
9,5,4,1,61,34,H,1.33,5.75,8.0
6,3,1,-1,75,47,H,1.38,5.25,7.0
6,7,-1,5,47,58,D,3.0,3.2,2.4
4,7,-1,7,45,70,H,3.6,3.3,2.1
0,9,-3,3,39,82,A,9.0,5.75,1.3
0,7,-5,2,39,64,A,3.2,2.75,2.63
0,4,-3,0,16,38,A,6.0,3.75,1.6
6,7,3,3,45,67,A,2.2,3.0,3.8
4,6,0,1,41,78,A,4.2,4.0,1.75
4,0,0,-4,48,39,H,1.8,3.3,4.75
1,6,-5,1,43,41,H,2.05,3.1,4.1
0,4,-3,-2,32,34,A,2.9,3.5,2.35
6,7,1,2,52,48,A,1.75,3.9,4.33
9,9,4,6,85,64,A,1.83,4.1,3.75
4,5,2,1,70,59,H,1.91,3.6,3.8
3,0,-1,-6,47,39,A,2.0,3.2,4.2
2,3,-3,1,59,45,D,1.91,3.75,3.75
7,3,2,-1,51,47,D,1.53,4.2,6.25
6,7,1,4,41,51,D,3.2,3.2,2.35
3,6,-4,1,42,52,A,4.1,3.75,1.85
0,0,-5,-3,39,32,H,1.38,4.75,8.0
6,3,2,-4,81,46,H,1.42,5.0,6.5
6,0,-1,-3,37,16,H,1.3,5.5,9.5
3,6,-1,5,41,73,A,3.8,3.75,1.91
9,3,5,-2,67,41,H,1.48,5.0,6.0
9,6,4,2,70,85,A,3.2,3.75,2.1
3,5,-4,1,41,52,A,2.25,3.25,3.3
9,0,6,0,70,0,H,1.4,4.75,8.0
1,3,-2,-2,46,46,D,2.6,2.9,3.1
1,6,-2,4,48,88,A,7.0,5.0,1.4
7,0,2,0,42,0,H,2.15,3.0,3.8
3,6,-2,5,42,76,H,6.0,3.9,1.57
6,3,1,-2,55,42,A,1.73,3.5,5.25
6,3,0,-3,70,41,H,1.57,3.9,6.0
0,2,0,-3,0,60,D,3.4,3.3,2.2
9,7,5,4,84,52,H,1.22,6.25,13.0
2,7,-3,2,61,45,H,1.91,3.4,4.2
1,3,-4,-2,48,55,D,3.0,3.1,2.55
6,1,6,0,76,1,D,1.25,5.25,15.0
0,6,-1,5,0,91,A,11.0,6.0,1.25
0,9,-2,5,0,87,A,9.5,5.5,1.3
9,0,5,-7,73,41,H,1.53,4.33,6.0
4,6,-1,1,47,45,D,1.8,3.4,5.0
4,2,1,-1,52,47,H,2.4,3.2,3.1
6,7,-1,3,73,55,H,1.7,3.5,5.5
0,6,-5,2,41,45,A,2.25,3.0,3.6
4,5,-1,1,56,64,D,2.2,3.4,3.25
2,0,0,-2,2,0,H,2.15,3.25,3.5
2,6,-1,2,47,48,H,2.3,2.9,3.6
9,2,6,-3,90,49,H,1.18,7.0,15.0
0,0,-11,-4,41,41,A,2.4,3.3,3.0
4,4,0,3,45,77,D,4.75,3.5,1.8
0,2,-5,-2,0,48,H,3.5,3.1,2.25
2,9,-2,9,57,76,D,2.75,3.5,2.5
5,6,1,-1,65,76,A,3.0,3.1,2.55
7,4,3,0,46,55,H,2.38,3.2,3.1
4,9,1,7,55,94,D,6.25,5.5,1.4
3,5,0,2,44,5,D,1.85,3.4,4.5
9,4,3,0,79,46,A,1.6,3.9,5.75
2,7,-1,7,78,77,H,1.8,3.7,4.33
2,9,-1,5,48,93,A,5.0,4.33,1.6
6,3,0,-4,48,3,H,1.95,3.1,4.5
3,0,0,-9,58,41,D,1.73,3.9,4.75
0,4,-4,0,0,65,D,3.25,3.25,2.3
3,4,-1,1,55,56,H,2.55,3.2,2.9
7,4,4,2,95,50,H,1.22,7.0,11.0
7,1,2,-4,49,49,H,2.1,3.4,3.5
2,1,-1,-2,66,48,H,1.91,3.6,3.75
4,6,3,2,77,58,H,1.55,4.33,5.5
3,6,-4,1,50,79,H,3.0,3.0,2.55
4,4,0,1,49,45,A,2.25,3.1,3.5
9,7,5,2,96,52,H,1.2,7.0,13.0
1,1,-7,-3,42,1,A,1.91,3.6,4.0
1,3,-3,0,56,59,D,2.3,3.3,3.2
1,5,-2,2,49,81,D,5.0,3.6,1.75
5,3,2,-4,6,3,H,1.91,3.2,4.5
7,6,7,0,98,51,H,1.22,6.5,12.0
4,9,2,4,4,99,A,7.5,5.75,1.33
7,4,3,-1,48,80,A,3.1,3.4,2.3
3,1,-2,-6,79,42,D,1.45,4.33,7.0
6,6,0,-1,52,53,D,2.25,3.1,3.4
3,4,-4,0,51,49,D,2.3,2.9,3.6
5,2,2,-2,82,57,H,1.5,4.5,6.0
0,1,-4,-2,48,50,H,1.8,3.4,4.75
3,7,0,3,58,9,D,1.95,3.25,4.33
3,7,-2,9,3,101,A,10.0,5.75,1.25
2,4,-4,-1,43,53,D,2.45,3.3,2.88
6,1,0,-3,83,80,H,2.1,3.25,3.7
1,4,-2,0,50,50,H,2.35,3.0,3.4
7,9,3,6,85,102,H,3.0,3.6,2.3
4,4,-1,1,52,4,D,2.05,3.1,4.1
1,4,-3,0,57,48,A,2.0,3.3,4.0
5,3,1,0,10,60,H,2.88,3.1,2.6
9,3,11,-2,104,51,H,1.27,5.75,10.0
4,4,1,1,69,59,H,1.75,3.8,4.5
4,0,-4,-5,54,3,A,1.7,3.5,5.5
1,2,-3,-3,59,53,H,2.15,2.9,4.1
3,4,-2,1,6,5,A,2.5,3.3,2.88
2,4,-4,1,44,54,H,2.45,3.5,2.8
1,4,-3,0,80,53,H,1.53,3.8,7.0
6,9,2,3,102,86,H,1.45,5.0,6.0
1,7,-2,2,50,13,H,2.3,3.1,3.3
6,9,1,6,51,107,H,5.75,5.25,1.45
2,7,-2,4,54,72,A,2.63,3.4,2.63
3,1,-2,-2,51,57,A,2.05,3.6,3.5
2,7,-1,4,60,88,D,4.5,3.8,1.75
3,2,-3,-1,6,54,A,3.0,3.1,2.5
6,9,0,5,86,75,D,1.91,3.6,4.0
7,4,4,-1,89,62,H,1.38,4.75,8.5
6,3,3,-1,54,53,A,1.85,3.3,4.75
6,5,0,1,107,47,H,1.2,7.0,12.0
4,4,-1,0,13,83,D,3.75,3.25,2.1
2,3,-1,-1,61,51,D,2.1,3.4,3.5
4,3,-1,-1,8,60,A,2.88,3.25,2.5
2,6,-1,2,53,105,A,8.0,4.33,1.42
4,1,1,-2,53,54,D,2.25,3.0,3.6
1,6,-2,2,52,54,H,1.95,3.5,3.8
1,4,-2,-1,55,87,A,3.1,3.6,2.2
4,1,0,-2,84,53,A,1.67,3.5,6.0
4,4,1,-1,57,14,H,1.95,3.25,4.1
4,3,0,-3,47,6,D,1.8,3.5,4.75
6,4,2,-1,56,8,D,2.1,3.3,3.6
6,6,0,-1,108,110,H,1.95,4.1,3.3
3,2,-2,-1,62,62,A,2.35,3.2,3.2
6,4,3,1,63,54,H,2.1,3.1,3.9
7,7,3,4,76,92,A,3.1,3.6,2.2
3,4,-1,0,56,48,H,2.15,3.0,3.8
9,1,4,-3,111,55,H,1.17,8.0,15.0
4,4,0,0,55,84,H,2.7,3.0,2.8
7,3,3,0,95,54,H,1.33,5.0,9.0
4,9,0,5,90,66,H,1.7,3.8,5.0
4,5,-1,1,9,65,A,2.88,3.4,2.45
4,6,1,2,54,60,H,2.38,3.0,3.3
3,1,-3,-3,110,14,H,1.22,6.25,12.0
4,4,-1,1,76,57,H,1.57,4.2,5.25
1,3,-4,-1,7,62,D,3.0,3.1,2.5
1,7,-3,2,14,58,D,2.7,3.2,2.7
6,7,2,6,60,93,A,2.8,3.5,2.38
9,1,6,-4,98,9,H,1.22,6.5,12.0
1,4,-2,0,48,57,H,2.4,3.25,3.0
0,1,-6,-2,54,63,H,2.15,3.3,3.5
1,2,-2,-2,84,8,H,1.5,3.8,8.0
6,9,0,6,66,114,D,5.25,5.0,1.5
4,6,-1,1,57,59,H,2.5,2.9,3.2
1,4,-6,1,55,79,D,3.3,3.4,2.2
7,6,2,2,68,113,A,4.5,4.2,1.65
1,1,-6,-3,56,9,H,2.0,3.5,3.7
9,4,8,-2,96,60,H,1.44,4.75,7.0
1,7,-2,2,63,59,A,2.8,3.1,2.7
3,6,-1,0,57,68,A,2.6,3.0,2.9
6,3,3,-1,116,87,H,1.36,5.5,7.0
2,4,-1,-3,8,67,D,3.5,3.2,2.2
4,4,1,0,80,51,D,1.53,4.33,5.75
6,9,1,7,59,101,A,5.25,3.5,1.73
1,7,-3,5,15,115,D,7.0,5.25,1.38
3,3,-2,-3,60,57,H,2.05,3.3,3.8
3,2,-1,-2,59,16,H,2.25,2.88,3.8
9,2,6,-1,104,9,H,1.2,6.25,17.0
0,3,-4,-4,9,87,A,3.5,3.3,2.15
9,3,8,-1,119,57,H,1.2,7.0,13.0
3,1,-3,-3,60,63,D,2.35,3.0,3.4
